"Food Name" "Category Name" "Calcium" "Calories" "Carbs" "Cholesterol" "Copper" "Fats" "Fiber" "Folate" "Iron" "Magnesium" "Monounsaturated Fat" "Net carbs" "Omega-3 - DHA" "Omega-3 - DPA" "Omega-3 - EPA" "Phosphorus" "Polyunsaturated fat" "Potassium" "Protein" "Saturated Fat" "Selenium" "Sodium" "Trans Fat" "Vitamin A (IU)" "Vitamin A RAE" "Vitamin B1" "Vitamin B12" "Vitamin B2" "Vitamin B3" "Vitamin B5" "Vitamin B6" "Vitamin C" "Zinc" "Choline" "Fructose" "Histidine" "Isoleucine" "Leucine" "Lysine" "Manganese" "Methionine" "Phenylalanine" "Starch" "Sugar" "Threonine" "Tryptophan" "Valine" "Vitamin D" "Vitamin E" "Vitamin K" "Omega-3 - ALA" "Omega-6 - Eicosadienoic acid" "Omega-6 - Gamma-linoleic acid" "Omega-3 - Eicosatrienoic acid" "Omega-6 - Dihomo-gamma-linoleic acid" "Omega-6 - Linoleic acid" "Omega-6 - Arachidonic acid"
"Carambola" "Fruits" 0.003 31 6.7 0 0.00014 0.33 2.8 1.2e-05 8e-05 0.01 0.03 3.9 0 0 0 0.012 0.18 0.133 1 0.02 6e-07 0.002 0 61 3e-06 1e-05 0 2e-05 0.00037 0.00039 2e-05 0.034 0.00011999999999999 0.0076 NA 1e-05 4e-05 8e-05 8e-05 4e-05 2e-05 4e-05 NA 4 4e-05 1e-05 5e-05 0 0.00015 0 NA NA NA NA NA NA NA
"Cherimoya" "Fruits" 0.01 75 18 0 7e-05 0.68 3 2.3e-05 0.00027 0.017 0.06 15 0 0 0 0.026 0.19 0.287 1.6 0.23 NA 0.007 0 5 0 1e-04 0 0.00013 0.00064 0.00035 0.00026 0.013 0.00016 NA 6.3 2e-05 4e-05 6e-05 4e-05 9e-05 2e-05 4e-05 0 13 5e-05 3e-05 6e-05 NA 0.00027 NA 0.16 0 0 0 0 0.03 NA
"Cherry" "Fruits" 0.016 50 12 0 1e-04 0.3 1.6 8e-06 0.00032 0.009 0.08 11 0 0 0 0.015 0.09 0.173 1 0.07 0 0.003 0 1283 6.4e-05 3e-05 0 4e-05 4e-04 0.00014 4e-05 0.01 1e-04 0.00609999999999999 3.5 NA NA NA NA 0.00011 NA NA NA 8.5 NA NA NA 0 7e-05 2.1e-06 NA NA NA NA NA NA NA
"Crabapple (Malus)" "Fruits" 0.018 76 20 0 7e-05 0.3 NA NA 0.00035999999999999 0.007 0.01 20 NA NA NA 0.015 0.09 0.194 0.4 0.05 NA 0.001 0 40 2e-06 3e-05 0 2e-05 1e-04 NA NA 0.008 NA NA NA 1e-05 2e-05 3e-05 3e-05 0.00011999999999999 0 1e-05 NA NA 1e-05 0 2e-05 NA NA NA NA NA NA NA NA NA NA
"Cranberry" "Fruits" 0.008 46 12 0 6e-05 0.13 3.6 1e-06 0.00023 0.006 0.02 8.4 0 0 0 0.011 0.06 0.08 0.46 0.01 1e-07 0.002 0 63 3e-06 1e-05 0 2e-05 1e-04 3e-04 6e-05 0.014 9e-05 0.0055 0.67 2e-05 3e-05 5e-05 4e-05 0.00027 0 4e-05 0 4.3 3e-05 0 5e-05 0 0.0013 5e-06 NA NA NA NA NA NA NA
"Currant" "Fruits" 0.033 56 14 0 0.00011 0.2 4.3 8e-06 0.001 0.013 0.03 9.5 0 0 0 0.044 0.09 0.275 1.4 0.02 6e-07 0.001 0 42 2e-06 4e-05 0 5e-05 1e-04 6e-05 7e-05 0.041 0.00023 0.0076 3.5 NA NA NA NA 0.00019 NA NA NA 7.4 NA NA NA 0 1e-04 1.1e-05 NA NA NA NA NA NA NA
"Custard apple" "Fruits" 0.03 101 25 0 NA 0.6 2.4 NA 0.00070999999999999 0.018 NA 23 NA NA NA 0.021 NA 0.382 1.7 0.23 NA 0.004 0 33 2e-06 8e-05 0 1e-04 5e-04 0.00014 0.00022 0.019 NA NA NA NA NA NA 4e-05 NA 0 NA NA NA NA 1e-05 NA NA NA NA NA NA NA NA NA NA NA
"Dates" "Fruits" 0.039 282 75 0 0.00020999999999999 0.39 8 1.9e-05 0.001 0.043 0.04 67 0 0 0 0.062 0.02 0.656 2.5 0.03 3e-06 0.002 0 10 0 5e-05 0 7e-05 0.0013 0.00058999999999999 0.00017 4e-04 0.00029 0.0063 20 3e-05 5e-05 8e-05 7e-05 0.00026 2e-05 5e-05 NA 63 4e-05 1e-05 7e-05 0 5e-05 2.7e-06 NA 0 0 NA NA NA NA
"Elderberry" "Fruits" 0.038 73 18 0 6e-05 0.5 7 6e-06 0.0016 0.005 0.08 11 0 0 0 0.039 0.25 0.28 0.66 0.02 6e-07 0.006 0 600 3e-05 7e-05 0 6e-05 5e-04 0.00014 0.00023 0.036 0.00011 NA NA 2e-05 3e-05 6e-05 3e-05 NA 1e-05 4e-05 NA NA 3e-05 1e-05 3e-05 NA NA NA NA NA NA NA NA NA NA
"Figs" "Fruits" 0.035 74 19 0 7e-05 0.3 2.9 6e-06 0.00037 0.017 0.07 16 0 0 0 0.014 0.14 0.232 0.75 0.06 2e-07 0.001 0 142 7e-06 6e-05 0 5e-05 4e-04 3e-04 0.00011 0.002 0.00015 0.0047 NA 1e-05 2e-05 3e-05 3e-05 0.00013 1e-05 2e-05 NA 16 2e-05 1e-05 3e-05 0 0.00011 4.7e-06 NA NA NA NA NA NA NA
"Fruit salad" "Fruits" 0.011 50 13 0 5e-05 0.03 1 3e-06 0.00025 0.008 0.01 12 NA NA NA 0.014 0.01 0.116 0.51 0 NA 0.005 0 600 3e-05 1e-05 0 1e-05 0.00035999999999999 5e-05 3e-05 0.0033 0.00014 NA NA NA NA NA NA 0.00015 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA
"Gooseberry" "Fruits" 0.025 44 10 0 7e-05 0.58 4.3 6e-06 0.00031 0.01 0.05 5.9 0 0 0 0.027 0.32 0.198 0.88 0.04 6e-07 0.001 0 290 1.5e-05 4e-05 0 3e-05 3e-04 0.00029 8e-05 0.028 0.00011999999999999 NA NA NA NA NA NA 0.00014 NA NA NA NA NA NA NA NA 0.00037 NA NA NA NA NA NA NA NA
"Goji berries" "Fruits" 0.19 349 77 0 NA 0.39 13 NA 0.0068 NA NA 64 NA NA NA NA NA NA 14 0 NA 0.298 0 26822 NA NA NA NA NA NA NA 0.048 NA NA NA 0.00016 0.00026 0.00046 0.00023 NA 9e-05 0.00027 NA 46 0.00035999999999999 NA 0.00032 NA NA NA NA NA NA NA NA NA NA
"Grapefruit" "Fruits" 0.022 42 11 0 3e-05 0.14 1.6 1.3e-05 8e-05 0.009 0.02 9.1 0 0 0 0.018 0.04 0.135 0.77 0.02 1e-07 0 0 1150 5.8e-05 4e-05 0 3e-05 2e-04 0.00026 5e-05 0.031 7e-05 0.0077 1.8 1e-05 1e-05 2e-05 2e-05 2e-05 1e-05 1e-05 0 6.9 1e-05 1e-05 2e-05 0 0.00013 0 NA NA NA NA NA NA NA
"Grape" "Fruits" 0.014 67 17 0 4e-05 0.35 0.9 4e-06 0.00029 0.005 0.01 16 0 0 0 0.01 0.1 0.191 0.63 0.11 1e-07 0.002 0 100 5e-06 9e-05 0 6e-05 3e-04 2e-05 0.00011 0.004 4e-05 0.0056 NA 2e-05 1e-05 1e-05 1e-05 0.00071999999999999 2e-05 1e-05 NA 16 2e-05 0 2e-05 0 0.00019 1.5e-05 NA NA NA NA NA NA NA
"Peruvian groundcherry" "Fruits" 0.009 53 11 0 NA 0.7 NA NA 0.001 NA NA 11 NA NA NA 0.04 NA NA 1.9 NA NA NA 0 720 3.6e-05 0.00011 0 4e-05 0.0028 NA NA 0.011 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Guava" "Fruits" 0.018 68 14 0 0.00023 0.95 5.4 4.9e-05 0.00026 0.022 0.09 8.9 0 0 0 0.04 0.4 0.417 2.6 0.27 6e-07 0.002 0 624 3.1e-05 7e-05 0 4e-05 0.0011 0.00045 0.00011 0.228 0.00023 0.0076 NA 2e-05 9e-05 0.00017 7e-05 0.00015 2e-05 1e-05 NA 8.9 1e-04 2e-05 9e-05 0 0.00073 2.6e-06 NA NA NA NA NA NA NA
"Jackfruit" "Fruits" 0.024 95 23 0 8e-05 0.64 1.5 2.4e-05 0.00023 0.029 0.16 22 0 0 0 0.021 0.09 0.448 1.7 0.2 NA 0.002 0 110 5e-06 0.00011 0 6e-05 0.00092 0.00023999999999999 0.00033 0.014 0.00013 NA 9.2 3e-05 7e-05 1e-04 7e-05 4e-05 3e-05 5e-05 1.5 19 9e-05 3e-05 9e-05 NA 0.00034 NA 0.08 0 0 0 0 0.02 NA
"Java plum" "Fruits" 0.019 60 16 0 NA 0.23 NA NA 0.00019 0.015 NA 16 NA NA NA 0.017 NA 0.079 0.72 NA NA 0.014 0 3 0 1e-05 0 1e-05 0.00026 NA 4e-05 0.014 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Jujube" "Fruits" 0.021 79 20 0 7e-05 0.2 NA NA 0.00047999999999999 0.01 NA 20 NA NA NA 0.023 NA 0.25 1.2 NA NA 0.003 0 40 2e-06 2e-05 0 4e-05 9e-04 NA 8e-05 0.069 5e-05 NA NA NA NA NA NA 8e-05 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Kiwifruit" "Fruits" 0.034 61 15 0 0.00013 0.52 3 2.5e-05 0.00031 0.017 0.05 12 0 0 0 0.034 0.29 0.312 1.1 0.03 2e-07 0.003 0 87 4e-06 3e-05 0 3e-05 0.00034 0.00017999999999999 6e-05 0.093 0.00014 0.0078 4.4 3e-05 5e-05 7e-05 6e-05 1e-04 2e-05 4e-05 0 9 5e-05 2e-05 6e-05 0 0.0015 4e-05 NA NA NA NA NA NA NA
"Kumquat" "Fruits" 0.062 71 16 0 1e-04 0.86 6.5 1.7e-05 0.00086 0.02 0.15 9.4 0 0 0 0.019 0.17 0.186 1.9 0.1 0 0.01 0 290 1.5e-05 4e-05 0 9e-05 0.00043 0.00020999999999999 4e-05 0.044 0.00017 0.0084 NA NA NA NA NA 0.00014 NA NA NA 9.4 NA NA NA 0 0.00015 0 NA NA NA NA NA NA NA
"Lemon" "Fruits" 0.026 29 9.3 0 4e-05 0.3 2.8 1.1e-05 6e-04 0.008 0.01 6.5 0 0 0 0.016 0.09 0.138 1.1 0.04 4e-07 0.002 0 22 1e-06 4e-05 0 2e-05 1e-04 0.00019 8e-05 0.053 6e-05 0.00509999999999999 NA NA NA NA NA 3e-05 NA NA NA 2.5 NA NA NA 0 0.00015 0 NA NA NA NA NA NA NA
"Lime" "Fruits" 0.033 30 11 0 7e-05 0.2 2.8 8e-06 6e-04 0.006 0.02 7.7 0 0 0 0.018 0.06 0.102 0.7 0.02 4e-07 0.002 0 50 2e-06 3e-05 0 2e-05 2e-04 0.00022 4e-05 0.029 0.00011 0.00509999999999999 NA NA NA NA 1e-05 1e-05 0 NA NA 1.7 NA 0 NA 0 0.00022 6e-07 NA NA NA NA NA NA NA
"Lychee" "Fruits" 0.005 66 17 0 0.00015 0.44 1.3 1.4e-05 0.00031 0.01 0.12 15 0 0 0 0.031 0.13 0.171 0.83 0.1 6e-07 0.001 0 0 0 1e-05 0 7e-05 6e-04 NA 1e-04 0.072 7e-05 0.00709999999999999 NA NA NA NA 4e-05 6e-05 1e-05 NA NA 15 NA 1e-05 NA 0 7e-05 4e-07 NA NA NA NA NA NA NA
"Loganberries" "Fruits" 0.026 55 13 0 0.00011999999999999 0.31 5.3 2.6e-05 0.00064 0.021 0.03 7.7 0 0 0 0.026 0.18 0.145 1.5 0.01 2e-07 0.001 0 35 2e-06 5e-05 0 3e-05 0.00083999999999999 0.00023999999999999 7e-05 0.015 0.00034 0.0085 NA NA NA NA NA 0.0012 NA NA NA 7.7 NA NA NA 0 0.00087 7.8e-06 NA NA NA NA NA NA NA
"Longan" "Fruits" 0.001 60 15 0 0.00017 0.1 1.1 NA 0.00013 0.01 NA 14 NA NA NA 0.021 NA 0.266 1.3 NA NA 0 0 NA NA 3e-05 0 0.00014 3e-04 NA NA 0.084 5e-05 NA NA 1e-05 3e-05 5e-05 5e-05 5e-05 1e-05 3e-05 NA NA 3e-05 NA 6e-05 NA NA NA NA NA NA NA NA NA NA
"Loquat" "Fruits" 0.016 47 12 0 4e-05 0.2 1.7 1.4e-05 0.00028 0.013 0.01 10 0 0 0 0.027 0.09 0.266 0.43 0.04 6e-07 0.001 0 1528 7.6e-05 2e-05 0 2e-05 0.00017999999999999 NA 1e-04 0.001 5e-05 NA NA 1e-05 2e-05 3e-05 2e-05 0.00015 0 1e-05 NA NA 2e-05 1e-05 2e-05 NA NA NA NA NA NA NA NA NA NA
"Mango" "Fruits" 0.011 60 15 0 0.00011 0.38 1.6 4.3e-05 0.00016 0.01 0.14 13 0 0 0 0.014 0.07 0.168 0.82 0.09 6e-07 0.001 0 1082 5.4e-05 3e-05 0 4e-05 0.00067 2e-04 0.00011999999999999 0.036 9e-05 0.0076 4.7 2e-05 3e-05 5e-05 7e-05 6e-05 1e-05 3e-05 NA 14 3e-05 1e-05 4e-05 0 9e-04 4.2e-06 NA NA NA NA NA NA NA
"Purple mangosteen" "Fruits" 0.012 73 18 0 7e-05 0.58 1.8 3.1e-05 3e-04 0.013 NA 16 NA NA NA 0.008 NA 0.048 0.41 NA NA 0.007 0 35 2e-06 5e-05 0 5e-05 0.00029 3e-05 2e-05 0.0029 0.00020999999999999 NA NA NA NA NA NA 1e-04 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA
"Cantaloupe" "Fruits" 0.009 34 8.2 0 4e-05 0.19 0.9 2.1e-05 0.00020999999999999 0.012 0 7.3 0 0 0 0.015 0.08 0.267 0.84 0.05 4e-07 0.016 0 3382 0.000169 4e-05 0 2e-05 0.00073 0.00011 7e-05 0.037 0.00017999999999999 0.0076 1.9 2e-05 2e-05 3e-05 3e-05 4e-05 1e-05 2e-05 0.03 7.9 2e-05 0 3e-05 0 5e-05 2.5e-06 NA NA NA NA NA NA NA
"Melon" "Fruits" 0.011 28 6.6 0 6e-05 0.1 0.9 8e-06 0.00034 0.011 0 5.7 0 0 0 0.005 0.04 0.182 1.1 0.03 4e-07 0.009 0 0 0 2e-05 0 3e-05 0.00023 8e-05 0.00016 0.022 7e-05 0.0076 NA NA NA NA NA 4e-05 NA NA NA 5.7 NA NA NA 0 5e-05 2.5e-06 NA NA NA NA NA NA NA
"Honeydew" "Fruits" 0.006 36 9.1 0 2e-05 0.14 0.8 1.9e-05 0.00017 0.01 0 8.3 0 0 0 0.011 0.06 0.228 0.54 0.04 7e-07 0.018 0 50 3e-06 4e-05 0 1e-05 0.00041999999999999 0.00016 9e-05 0.018 9e-05 0.0076 3 1e-05 1e-05 2e-05 2e-05 3e-05 1e-05 2e-05 0 8.1 1e-05 1e-05 2e-05 0 2e-05 2.9e-06 NA NA NA NA NA NA NA
"Mulberry" "Fruits" 0.039 43 9.8 0 6e-05 0.39 1.7 6e-06 0.0019 0.018 0.04 8.1 0 0 0 0.038 0.21 0.194 1.4 0.03 6e-07 0.01 0 25 1e-06 3e-05 0 1e-04 0.00062 NA 5e-05 0.036 0.00011999999999999 0.012 NA NA NA NA NA NA NA NA NA 8.1 NA NA NA 0 0.00087 7.8e-06 NA NA NA NA NA NA NA
"Nectarine" "Fruits" 0.006 44 11 0 9e-05 0.32 1.7 5e-06 0.00028 0.009 0.09 8.9 0 0 0 0.026 0.11 0.201 1.1 0.03 0 0 0 332 1.7e-05 3e-05 0 3e-05 0.0011 0.00019 3e-05 0.0054 0.00017 0.0062 1.4 1e-05 1e-05 1e-05 2e-05 5e-05 1e-05 2e-05 0.07 7.9 1e-05 1e-05 1e-05 0 0.00077 2.2e-06 NA NA NA NA NA NA NA
"Orange" "Fruits" 0.04 47 12 0 5e-05 0.12 2.4 3e-05 1e-04 0.01 0.02 9.4 0 0 0 0.014 0.03 0.181 0.94 0.02 5e-07 0 0 225 1.1e-05 9e-05 0 4e-05 0.00028 0.00025 6e-05 0.053 7e-05 0.0084 NA 2e-05 3e-05 2e-05 5e-05 3e-05 2e-05 3e-05 NA 9.4 2e-05 1e-05 4e-05 0 0.00017999999999999 0 NA NA NA NA NA NA NA
"Mandarin orange" "Fruits" 0.037 53 13 0 4e-05 0.31 1.8 1.6e-05 0.00015 0.012 0.06 12 0 0 0 0.02 0.07 0.166 0.81 0.04 1e-07 0.002 0 681 3.4e-05 6e-05 0 4e-05 0.00038 0.00022 8e-05 0.027 7e-05 0.01 2.4 1e-05 2e-05 3e-05 3e-05 4e-05 0 2e-05 0 11 2e-05 0 2e-05 0 2e-04 0 NA NA NA NA NA NA NA
"Papaya" "Fruits" 0.02 43 11 0 5e-05 0.26 1.7 3.7e-05 0.00025 0.021 0.07 9.1 0 0 0 0.01 0.06 0.182 0.47 0.08 6e-07 0.008 0 950 4.7e-05 2e-05 0 3e-05 0.00035999999999999 0.00019 4e-05 0.061 8e-05 0.00609999999999999 3.7 1e-05 1e-05 2e-05 3e-05 4e-05 0 1e-05 0 7.8 1e-05 1e-05 1e-05 0 3e-04 2.6e-06 NA NA NA NA NA NA NA
"Passion fruit" "Fruits" 0.012 97 23 0 9e-05 0.7 10 1.4e-05 0.0016 0.029 0.09 13 0 0 0 0.068 0.41 0.348 2.2 0.06 6e-07 0.028 0 1272 6.4e-05 0 0 0.00013 0.0015 NA 1e-04 0.03 1e-04 0.0076 NA NA NA NA NA NA NA NA NA 11 NA NA NA 0 2e-05 7e-07 NA NA NA NA NA NA NA
"Peach" "Fruits" 0.006 39 9.5 0 7e-05 0.25 1.5 4e-06 0.00025 0.009 0.07 8 0 0 0 0.02 0.09 0.19 0.91 0.02 1e-07 0 0 326 1.6e-05 2e-05 0 3e-05 0.00081 0.00015 3e-05 0.0066 0.00017 0.00609999999999999 1.5 1e-05 2e-05 3e-05 3e-05 6e-05 1e-05 2e-05 0 8.4 2e-05 1e-05 2e-05 0 0.00073 2.6e-06 NA NA NA NA NA NA NA
"Pear" "Fruits" 0.009 57 15 0 8e-05 0.14 3.1 7e-06 0.00017999999999999 0.007 0.08 12 0 0 0 0.012 0.09 0.116 0.36 0.02 1e-07 0.001 0 25 1e-06 1e-05 0 3e-05 0.00016 5e-05 3e-05 0.0043 1e-04 0.00509999999999999 6.4 0 1e-05 2e-05 2e-05 5e-05 0 1e-05 NA 9.8 1e-05 0 2e-05 0 0.00011999999999999 4.4e-06 NA NA NA NA NA NA NA
"Persimmon" "Fruits" 0.027 127 34 0 NA 0.4 NA NA 0.0025 NA NA 34 NA NA NA 0.026 NA 0.31 0.8 NA NA 0.001 0 NA NA NA 0 NA NA NA NA 0.066 NA NA NA 2e-05 4e-05 6e-05 5e-05 NA 1e-05 4e-05 NA NA 4e-05 1e-05 4e-05 NA NA NA NA NA NA NA NA NA NA
"Pineapple" "Fruits" 0.013 50 13 0 0.00011 0.12 1.4 1.8e-05 0.00029 0.012 0.01 12 0 0 0 0.008 0.04 0.109 0.54 0.01 1e-07 0.001 0 58 3e-06 8e-05 0 3e-05 5e-04 0.00020999999999999 0.00011 0.048 0.00011999999999999 0.0055 2.1 1e-05 2e-05 2e-05 3e-05 0.00093 1e-05 2e-05 0 9.9 2e-05 1e-05 2e-05 0 2e-05 7e-07 NA NA NA NA NA NA NA
"Pitanga (Surinam cherry)" "Fruits" 0.009 33 7.5 0 NA 0.4 NA NA 2e-04 0.012 NA 7.5 NA NA NA 0.011 NA 0.103 0.8 NA NA 0.003 0 1500 7.5e-05 3e-05 0 4e-05 3e-04 NA NA 0.026 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Plantain" "Fruits" 0.002 116 31 0 7e-05 0.18 2.3 2.6e-05 0.00058 0.032 0.02 29 0 0 0 0.028 0.03 0.465 0.79 0.07 1.4e-06 0.005 0 909 4.5e-05 5e-05 0 5e-05 0.00076 0.00023 0.00023999999999999 0.011 0.00013 0.013 NA 4e-05 2e-05 4e-05 4e-05 NA 1e-05 3e-05 NA 14 2e-05 1e-05 3e-05 0 0.00013 7e-07 NA NA NA NA NA NA NA
"Plum" "Fruits" 0.006 46 11 0 6e-05 0.28 1.4 5e-06 0.00017 0.007 0.13 10 0 0 0 0.016 0.04 0.157 0.7 0.02 0 0 0 345 1.7e-05 3e-05 0 3e-05 0.00041999999999999 0.00014 3e-05 0.0095 1e-04 0.0019 3.1 1e-05 1e-05 2e-05 2e-05 5e-05 1e-05 1e-05 0 9.9 1e-05 1e-05 2e-05 0 0.00026 6.4e-06 NA NA NA NA NA NA NA
"Pomegranate" "Fruits" 0.01 83 19 0 0.00016 1.2 4 3.8e-05 3e-04 0.012 0.09 15 0 0 0 0.036 0.08 0.236 1.7 0.12 5e-07 0.003 0 0 0 7e-05 0 5e-05 0.00029 0.00038 8e-05 0.01 0.00035 0.0076 NA NA NA NA NA 0.00011999999999999 NA NA NA 14 NA NA NA 0 6e-04 1.6e-05 NA NA NA NA NA NA NA
"Prickly pear" "Fruits" 0.056 41 9.6 0 8e-05 0.51 3.6 6e-06 3e-04 0.085 0.08 6 0 0 0 0.024 0.21 0.22 0.73 0.07 6e-07 0.005 0 43 2e-06 1e-05 0 6e-05 0.00046 NA 6e-05 0.014 0.00011999999999999 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Prunes" "Fruits" 0.043 240 64 0 0.00028 0.38 7.1 4e-06 0.00093 0.041 0.05 57 0 0 0 0.069 0.06 0.732 2.2 0.09 3e-07 0.002 NA 781 3.9e-05 5e-05 0 0.00019 0.0019 0.00041999999999999 0.00020999999999999 6e-04 0.00044 0.01 12 3e-05 4e-05 7e-05 5e-05 3e-04 2e-05 5e-05 5.1 38 5e-05 3e-05 6e-05 0 0.00043 6e-05 NA 0 0 NA NA NA NA
"Pomelo" "Fruits" 0.004 38 9.6 0 5e-05 0.04 1 NA 0.00011 0.006 NA 8.6 NA NA NA 0.017 NA 0.216 0.76 NA NA 0.001 0 8 0 3e-05 0 3e-05 0.00022 NA 4e-05 0.061 8e-05 NA NA NA NA NA NA 2e-05 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
